pick_range,pick_lo,pick_hi,players,nhl_rate,mean_war_7yr,median_war_7yr,total_surplus_7yr,surplus_per_year
#1,1,1,18,1.0,2.3916666666666666,0.95,58834786.91575132,8404969.559393046
#2-3,2,3,36,1.0,1.3155555555555558,0.6000000000000001,25819635.400599808,3688519.3429428297
#4-5,4,5,34,1.0,0.9826470588235293,0.23500000000000001,16216686.836006507,2316669.5480009294
#6-10,6,10,82,1.0,0.7739024390243903,0.24000000000000002,9488320.902134024,1355474.4145905748
#11-15,11,15,79,0.9240506329113924,0.42721518987341783,0.21000000000000002,-90448.52667161752,-12921.21809594536
#16-20,16,20,72,0.9166666666666666,0.4233333333333334,0.18,-1337315.5296755887,-191045.07566794124
#21-31,21,31,150,0.7866666666666666,0.32680000000000003,0.09,-2008959.7435198904,-286994.2490742701
#32-64,32,64,298,0.7953020134228188,0.3240268456375839,0.09000000000000001,-2346214.9011020274,-335173.5573002896
#65-96,65,96,188,0.6382978723404256,0.25,0.07,-3366197.637604632,-480885.37680066173
#97-128,97,128,160,0.71875,0.26487499999999997,0.08499999999999999,-3013816.9357719943,-430545.2765388563
#129-160,129,160,129,0.6589147286821705,0.25,0.07,-3885703.325657749,-555100.4750939641
#161-224,161,224,153,0.6274509803921569,0.17653594771241832,0.04,-5139449.739479317,-734207.1056399025
